C0205161||Abnormal
C1113654||neural precursor cell
C1155872||regulation
C0016667||Fragile X
C0025929||mouse
C0019564||hippocampus
C1155872||regulation
C1113654||neural precursor cells
C1113654||neural precursor cells
C0006104||brain
C1704258||Abnormalities
C3155886||NPC proliferation
C1514964||differentiation
C0007620||survival
C0007613||integration
C0016667||Fragile X syndrome
C1513916||no
C0008972||studies
C1113654||neural precursor cells
C0016667||Fragile X
C0025929||mouse
C0019564||hippocampus
C0118036||FMRP
C0033684||protein
C0016667||Fragile X
C0035804||rodent
C0019564||hippocampus
C0019564||hippocampal
C1113654||neural precursor cells
C0152314||dentate gyrus
C0152314||dentate gyrus
C0814002||neurogenesis
C1113654||neural precursor cells
C0019564||hippocampus
C0152314||dentate gyrus
C0016667||Fragile X
C0025929||mice
C1414649||Fmr1
C1522225||KO
C0242349||Immunocytochemistry
C0007635||neurospheres
C0068575||Nestin
C1171362||expression
C0208804||Ki67
C1171362||expression
C1113654||NPC
C0016263||flow cytometric analysis
C1171362||expression
C0080188||antigens CD15
C0054948||CD24
C0673028||CD133
C1529083||GLAST
C0533925||PSA-NCAM
C1113654||neural stem cells (GLAST(+)CD15(+)CD133(+))
C0814005||neuroblasts (PSA-NCAM(+)CD15(+))
C0152314||dentate gyrus
C1414649||Fmr1
C1522225||KO
C0025929||mice
C0068575||Nestin
C0005516||marker
C0019647||phospho-histone H3
C1515655||in vivo
C0019564||hippocampus
C0007634||cells
C1517347||G2/M phases
C0152314||dentate gyrus
C0118036||FMRP
C1113654||neural precursor cells
C1113654||neural stem cells
C0814005||neuroblasts
C0118036||FMRP
C0019564||hippocampal
C1704258||abnormalities
C1155872||cell cycle regulation
C0016667||Fragile X
