C0015219||Evolution
C2959999||H5 highly pathogenic avian influenza
C0004793||sequence
C0004793||cleavage site
C0017337||H5 subtype hemagglutinin gene
C0042776||quasispecies
C0325336||ostrich
C0040300||tissues
C3714514||infected
C2959999||H5 subtype influenza virus
C2936622||next generation sequencing approach
C0004793||poly (U) stretch
C0004793||haemagglutinin cleavage site
C0004793||haemagglutinin cleavage site
C0035685||viral RNA-dependent RNA polymerase
C0035685||RNA-dependent RNA polymerase
C0004793||non-consensus species
C0035668||RNA
C0442726||detected
C3714514||infected
C0004793||intermediate sequences
C0004793||nucleotide sequence
C2959999||H5 influenza strain
C2959999||highly pathogenic avian influenza virus
C0017337||gene sequence
C0936012||analysis
C0162327||RNA sequences
C0004793||H5 sequence PQREKRGLF
C0026882||mutational events
C0004793||haemagglutinin cleavage site
C0079941||coding region
C0035668||base-paired RNA
C0030956||peptide
C0079941||coding region
C0035685||RNA-dependent RNA polymerase
