C1515655||In Vivo
C0007595||Expansion
C0025202||Melanoma
C0039194||T Cells
C0027551||Microneedle
C0005479||Immune-Polyelectrolyte Multilayers
C0027551||Microneedles
C0027551||Microneedles
C0032521||polymeric
C0042210||vaccines
C1123023||skin
C0312740||immune cells
C1096717||injection-associated pain
C2603343||studies
C0021489||intradermal injections
C0086418||human
C0027551||MN
C0376659||cancer vaccines
C0021083||immunotherapies
C0005479||polyelectrolyte multilayers
C0003320||peptide antigens
C0243192||molecular toll-like receptor agonists
C0243192||toll-like receptor agonists
C0005479||immune polyelectrolyte multilayers
C0005479||immune polyelectrolyte multilayers
C0376659||cancer vaccine
C0027551||MN
C0021489||intradermal delivery
C0086418||human
C2936596||melanoma antigens
C0243192||TLRa vaccine
C0042210||CpG
C0005479||immune polyelectrolyte multilayers
C0027551||Microneedles
C0376659||cancer vaccine
C0007585||cell culture
C0005479||iPEM
C0027551||Microneedles
C0011306||dendritic cells
C0007634||cells
C0039194||T cells
C0282547||coculture
C0025929||mice
C0185125||application
C0005479||iPEM
C0027551||Microneedles
C0027651||tumor
C0003320||antigen
C0042210||CpG
C1123023||skin
C0027651||tumor
C0039194||T cells
C0027551||MN
C0185125||applications
C0679063||memory recall responses
C0027551||MN
C0185125||application
C2603343||study
C0027551||Microneedles
C0005479||PEMs
C0027651||tumor
C0042210||vaccine
C0027651||tumor
C0301872||immune responses
C0920425||cancer therapies
