C0870071||Modeling
C1414580||ferrochelatase c.315-48C
C0026882||mutation
C0162568||erythropoietic protoporphyria
C0162568||erythropoietic protoporphyria
C0026809||mice
C0162568||Erythropoietic protoporphyria
C0162568||erythropoietic protoporphyria
C0015880||ferrochelatase
C0015880||ferrochelatase
C0302583||iron
C0072497||protoporphyrin IX
C0072497||protoporphyrin IX
C0018966||heme
C0072497||protoporphyrin IX
C0030193||pain
C0041582||ulcerations
C1123023||skin
C0237401||individuals
C0162568||erythropoietic protoporphyria
C0086565||liver dysfunction
C0072497||protoporphyrin IX
C4055506||accumulation
C1414580||ferrochelatase
C1881249||mutation (Mut) in trans to an intronic
C1414580||c.315-48C
C0015880||ferrochelatase
C1158733||3' splice site
C1710582||63 nt upstream of the normal site
C0015295||exon 4.
C1414580||c.315-48T
C0002085||allele
C1711332||splice site
C0026882||T/Mut
C0162568||erythropoietic protoporphyria
C1457887||symptoms
C0002085||C allele
C0087111||therapeutic approaches
C0017387||splicing
C3161035||model
C0013206||pre-clinical studies
C0026809||mouse
C1414580||Fech gene
C1414580||c.315-48C
C0026809||mice
C1414580||Fech
C0026882||mutation
C1414580||m1Pas
C0162568||erythropoietic protoporphyria
C0072497||protoporphyrin IX
C0005767||blood
C1112137||enlargement of liver and spleen
C0002871||anemia
C0030193||pain
C0037284||skin lesions
C1711332||splice site
C0026809||mice
C0015295||exon 3
C3161035||model
C0017387||splicing
